cidade,timestamp,data_hora,temperatura,umidade,condicao,vento,chovendo
Lavras,1765508400,2025-12-12 00:00:00,33.92,56.91,Sol,9.9,1
Lavras,1765530000,2025-12-12 06:00:00,31.5,73.83,Nublado,5.41,1
Lavras,1765558800,2025-12-12 14:00:00,25.13,69.15,Sol,6.65,1
Lavras,1765587600,2025-12-12 22:00:00,32.49,61.59,Chuva,10.01,1
Lavras,1765594800,2025-12-13 00:00:00,21.85,78.12,Sol,1.34,0
Lavras,1765616400,2025-12-13 06:00:00,25.59,63.94,Nublado,14.92,0
Lavras,1765645200,2025-12-13 14:00:00,28.89,69.86,Sol,9.18,1
Lavras,1765674000,2025-12-13 22:00:00,26.04,55.51,Chuva,7.94,0
Lavras,1765681200,2025-12-14 00:00:00,24.52,60.66,Nublado,11.41,1
Lavras,1765702800,2025-12-14 06:00:00,20.79,54.7,Nublado,5.96,1
Lavras,1765731600,2025-12-14 14:00:00,28.84,49.98,Sol,13.59,0
Lavras,1765760400,2025-12-14 22:00:00,30.68,71.2,Sol,3.35,0
Lavras,1765767600,2025-12-15 00:00:00,26.95,52.85,Nublado,6.41,0
Lavras,1765789200,2025-12-15 06:00:00,23.53,70.11,Sol,4.3,1
Lavras,1765818000,2025-12-15 14:00:00,34.65,78.81,Sol,14.38,1
Lavras,1765846800,2025-12-15 22:00:00,32.82,74.77,Nublado,6.65,1
Lavras,1765854000,2025-12-16 00:00:00,34.28,74.13,Sol,0.41,0
Lavras,1765875600,2025-12-16 06:00:00,21.49,67.63,Sol,8.78,1
Lavras,1765904400,2025-12-16 14:00:00,33.2,70.1,Sol,11.44,0
Lavras,1765933200,2025-12-16 22:00:00,33.51,64.67,Chuva,6.5,0
Lavras,1765940400,2025-12-17 00:00:00,21.78,73.51,Sol,8.38,1
Lavras,1765962000,2025-12-17 06:00:00,28.57,59.84,Sol,3.34,0
Lavras,1765990800,2025-12-17 14:00:00,21.63,51.09,Sol,10.4,1
Lavras,1766019600,2025-12-17 22:00:00,20.4,47.59,Nublado,9.43,1
Lavras,1766026800,2025-12-18 00:00:00,30.79,64.12,Sol,8.47,1
Lavras,1766048400,2025-12-18 06:00:00,33.13,78.23,Sol,1.85,1
Lavras,1766077200,2025-12-18 14:00:00,32.78,47.39,Chuva,11.75,0
Lavras,1766106000,2025-12-18 22:00:00,25.54,61.37,Nublado,9.58,1
Lavras,1766113200,2025-12-19 00:00:00,32.32,73.74,Nublado,6.18,1
Lavras,1766134800,2025-12-19 06:00:00,22.73,45.96,Chuva,3.71,0
Lavras,1766163600,2025-12-19 14:00:00,32.19,40.74,Sol,1.7,1
Lavras,1766192400,2025-12-19 22:00:00,27.27,58.33,Nublado,14.77,1
Lavras,1766199600,2025-12-20 00:00:00,29.13,40.75,Nublado,2.15,0
Lavras,1766221200,2025-12-20 06:00:00,31.82,65.69,Nublado,5.92,1
Lavras,1766250000,2025-12-20 14:00:00,31.66,57.47,Nublado,8.98,0
Lavras,1766278800,2025-12-20 22:00:00,20.43,52.57,Sol,5.11,1
Lavras,1766286000,2025-12-21 00:00:00,24.03,60.88,Chuva,12.31,0
Lavras,1766307600,2025-12-21 06:00:00,27.81,60.67,Nublado,10.2,0
Lavras,1766336400,2025-12-21 14:00:00,25.48,76.29,Chuva,3.72,1
Lavras,1766365200,2025-12-21 22:00:00,34.9,54.98,Chuva,1.25,1
Lavras,1766372400,2025-12-22 00:00:00,20.89,40.36,Chuva,4.9,1
Lavras,1766394000,2025-12-22 06:00:00,31.32,78.23,Sol,1.14,1
Lavras,1766422800,2025-12-22 14:00:00,23.62,74.87,Sol,0.59,0
Lavras,1766451600,2025-12-22 22:00:00,21.25,75.75,Nublado,12.81,1
Lavras,1766458800,2025-12-23 00:00:00,31.51,44.16,Sol,1.9,0
Lavras,1766480400,2025-12-23 06:00:00,27.68,42.85,Chuva,12.11,0
Lavras,1766509200,2025-12-23 14:00:00,30.4,50.37,Sol,4.13,0
Lavras,1766538000,2025-12-23 22:00:00,25.48,76.28,Chuva,10.88,1
Lavras,1766545200,2025-12-24 00:00:00,34.43,76.99,Chuva,7.87,1
Lavras,1766566800,2025-12-24 06:00:00,28.31,78.05,Nublado,1.02,1
Lavras,1766595600,2025-12-24 14:00:00,33.7,58.98,Chuva,12.07,1
Lavras,1766624400,2025-12-24 22:00:00,33.57,44.68,Sol,4.31,1
Lavras,1766631600,2025-12-25 00:00:00,27.81,63.42,Nublado,1.08,1
Lavras,1766653200,2025-12-25 06:00:00,30.0,73.71,Sol,0.54,0
Lavras,1766682000,2025-12-25 14:00:00,27.69,66.93,Sol,4.89,0
Lavras,1766710800,2025-12-25 22:00:00,26.34,68.83,Chuva,11.97,0
Lavras,1766718000,2025-12-26 00:00:00,31.29,55.43,Nublado,8.08,1
Lavras,1766739600,2025-12-26 06:00:00,27.21,72.08,Sol,11.27,0
Lavras,1766768400,2025-12-26 14:00:00,26.57,59.92,Chuva,3.92,0
Lavras,1766797200,2025-12-26 22:00:00,30.85,72.01,Sol,5.5,1
Lavras,1766804400,2025-12-27 00:00:00,32.32,79.38,Nublado,2.5,1
Lavras,1766826000,2025-12-27 06:00:00,20.1,77.45,Nublado,9.75,1
Lavras,1766854800,2025-12-27 14:00:00,28.18,43.1,Nublado,5.52,0
Lavras,1766883600,2025-12-27 22:00:00,23.81,65.31,Chuva,5.3,1
Lavras,1766890800,2025-12-28 00:00:00,21.51,76.77,Sol,13.25,0
Lavras,1766912400,2025-12-28 06:00:00,22.47,62.14,Nublado,14.63,1
Lavras,1766941200,2025-12-28 14:00:00,26.06,59.7,Sol,0.81,0
Lavras,1766970000,2025-12-28 22:00:00,24.86,78.21,Sol,11.23,1
Lavras,1766977200,2025-12-29 00:00:00,32.47,71.79,Sol,7.98,0
Lavras,1766998800,2025-12-29 06:00:00,21.96,46.0,Nublado,9.24,0
Lavras,1767027600,2025-12-29 14:00:00,20.23,67.08,Nublado,7.62,0
Lavras,1767056400,2025-12-29 22:00:00,20.21,63.09,Sol,4.14,1
Lavras,1767063600,2025-12-30 00:00:00,20.91,76.79,Chuva,0.39,0
Lavras,1767085200,2025-12-30 06:00:00,23.28,52.17,Chuva,8.38,0
Lavras,1767114000,2025-12-30 14:00:00,24.33,52.47,Sol,8.87,0
Lavras,1767142800,2025-12-30 22:00:00,33.89,47.13,Chuva,6.24,1
Lavras,1767150000,2025-12-31 00:00:00,30.1,58.42,Sol,0.96,1
Lavras,1767171600,2025-12-31 06:00:00,23.07,78.26,Nublado,11.75,0
Lavras,1767200400,2025-12-31 14:00:00,34.72,74.45,Sol,3.54,1
Lavras,1767229200,2025-12-31 22:00:00,22.18,42.38,Sol,8.76,1
Lavras,1767236400,2026-01-01 00:00:00,32.5,57.34,Nublado,2.15,0
Lavras,1767258000,2026-01-01 06:00:00,25.97,79.89,Nublado,11.6,1
Lavras,1767286800,2026-01-01 14:00:00,29.68,60.28,Nublado,0.6,1
Lavras,1767315600,2026-01-01 22:00:00,27.59,40.85,Nublado,5.06,1
Lavras,1767322800,2026-01-02 00:00:00,25.31,50.21,Sol,2.18,0
Lavras,1767344400,2026-01-02 06:00:00,34.26,74.75,Sol,12.79,0
Lavras,1767373200,2026-01-02 14:00:00,32.71,45.41,Sol,14.23,1
Lavras,1767402000,2026-01-02 22:00:00,24.74,49.53,Chuva,11.34,1
Lavras,1767409200,2026-01-03 00:00:00,26.19,54.31,Sol,4.71,1
Lavras,1767430800,2026-01-03 06:00:00,31.41,58.46,Chuva,2.91,1
Lavras,1767459600,2026-01-03 14:00:00,21.34,77.86,Chuva,12.7,0
Lavras,1767488400,2026-01-03 22:00:00,32.19,68.15,Sol,14.33,1
Lavras,1767495600,2026-01-04 00:00:00,26.33,58.89,Chuva,1.78,1
Lavras,1767517200,2026-01-04 06:00:00,22.57,50.03,Sol,4.05,1
Lavras,1767546000,2026-01-04 14:00:00,34.64,79.78,Nublado,11.73,1
Lavras,1767574800,2026-01-04 22:00:00,24.93,70.74,Chuva,10.13,0
Lavras,1767582000,2026-01-05 00:00:00,22.05,54.73,Chuva,5.07,0
Lavras,1767603600,2026-01-05 06:00:00,26.58,69.9,Sol,2.7,1
Lavras,1767632400,2026-01-05 14:00:00,32.9,53.08,Chuva,1.15,0
Lavras,1767661200,2026-01-05 22:00:00,21.28,78.62,Nublado,1.85,0
Lavras,1767668400,2026-01-06 00:00:00,26.35,70.06,Nublado,13.85,0
Lavras,1767690000,2026-01-06 06:00:00,20.39,49.84,Sol,3.38,1
Lavras,1767718800,2026-01-06 14:00:00,23.74,41.58,Chuva,8.95,1
Lavras,1767747600,2026-01-06 22:00:00,23.03,57.97,Chuva,4.41,1
Lavras,1767754800,2026-01-07 00:00:00,29.44,71.51,Sol,13.66,1
Lavras,1767776400,2026-01-07 06:00:00,31.2,52.53,Sol,14.57,0
Lavras,1767805200,2026-01-07 14:00:00,26.18,49.05,Nublado,9.75,1
Lavras,1767834000,2026-01-07 22:00:00,27.2,79.36,Nublado,8.71,0
Lavras,1767841200,2026-01-08 00:00:00,26.67,72.13,Nublado,6.2,1
Lavras,1767862800,2026-01-08 06:00:00,31.03,70.47,Sol,1.41,0
Lavras,1767891600,2026-01-08 14:00:00,27.55,55.9,Nublado,9.16,0
Lavras,1767920400,2026-01-08 22:00:00,20.47,47.8,Sol,4.09,1
Lavras,1767927600,2026-01-09 00:00:00,30.37,51.42,Chuva,5.11,0
Lavras,1767949200,2026-01-09 06:00:00,25.45,55.48,Chuva,6.01,0
Lavras,1767978000,2026-01-09 14:00:00,23.39,70.13,Nublado,1.49,0
Lavras,1768006800,2026-01-09 22:00:00,27.43,79.26,Nublado,3.98,0
Lavras,1768014000,2026-01-10 00:00:00,27.1,71.77,Chuva,6.75,0
Lavras,1768035600,2026-01-10 06:00:00,21.82,51.77,Sol,9.5,1
Lavras,1768064400,2026-01-10 14:00:00,29.0,76.35,Chuva,5.21,0
Lavras,1768071105,2026-01-10 18:51:45,30.72,36.0,céu limpo,2.92,0
Lavras,1768093200,2026-01-10 22:00:00,34.64,51.72,Chuva,2.4,1
Lavras,1768100400,2026-01-11 00:00:00,23.09,69.72,Nublado,0.14,1
Lavras,1768122000,2026-01-11 06:00:00,25.97,55.87,Chuva,6.34,0
Lavras,1768150800,2026-01-11 14:00:00,23.67,74.67,Nublado,4.78,1
Lavras,1768179600,2026-01-11 22:00:00,30.6,62.62,Nublado,0.77,0
Lavras,1768186800,2026-01-12 00:00:00,26.44,60.39,Nublado,5.52,1
Lavras,1768208400,2026-01-12 06:00:00,33.78,55.68,Sol,0.82,0
Lavras,1768237200,2026-01-12 14:00:00,20.74,65.0,Nublado,7.31,0
Lavras,1768266000,2026-01-12 22:00:00,30.16,58.0,Sol,6.83,1
